"","gene","TAD"
"AK094480","AK094480","TAD_2383"
"AK094561","AK094561","TAD_2531"
"AK094562","AK094562","TAD_1057"
"AK094607;MIR137","AK094607;MIR137","TAD_156"
"AK094621","AK094621","TAD_2636"
"AK094639","AK094639","TAD_2270"
"AK094644","AK094644","TAD_3369"
"AK094674","AK094674","TAD_610"
"AK094692","AK094692","TAD_4"
"AK094715","AK094715","TAD_2917"
"AK094733","AK094733","TAD_730"
"AK094915","AK094915","TAD_3159"
"AK094929","AK094929","TAD_1177"
"AK094934","AK094934","TAD_2797"
"AK094945","AK094945","TAD_2587"
"AK094963","AK094963","TAD_1477"
"AK094985","AK094985","TAD_2697"
"AK094990","AK094990","TAD_935"
"AK095045","AK095045","TAD_1538"
"AK095081","AK095081","TAD_692"
"AK095112;AK126318","AK095112;AK126318","TAD_1451"
"AK095117","AK095117","TAD_2866"
"AK095132","AK095132","TAD_3410"
"AK095187","AK095187","TAD_683"
"AK095210","AK095210","TAD_3385"
"AK095221","AK095221","TAD_1619"
"AK095242","AK095242","TAD_2262"
"AK095267","AK095267","TAD_692"
"AK095285","AK095285","TAD_2512"
"AK095310","AK095310","TAD_1706"
"AK095335","AK095335","TAD_1158"
"AK095365","AK095365","TAD_705"
"AK095439","AK095439","TAD_3647"
"AK095498","AK095498","TAD_1838"
"AK095583","AK095583","TAD_3086"
"AK095618","AK095618","TAD_1311"
"AK095633","AK095633","TAD_280"
"AK095699","AK095699","TAD_347"
"AK095779","AK095779","TAD_927"
"AK096023","AK096023","TAD_2844"
"AK096159","AK096159","TAD_3377"
"AK096219","AK096219","TAD_2793"
"AK096230","AK096230","TAD_862"
"AK096233;PRICKLE1","AK096233;PRICKLE1","TAD_750"
"AK096279","AK096279","TAD_2237"
"AK096291","AK096291","TAD_123"
"AK096314","AK096314","TAD_718"
"AK096319","AK096319","TAD_2486"
"AK096329","AK096329","TAD_242"
"AK096335","AK096335","TAD_582"
"AK096379","AK096379","TAD_3541"
"AK096380","AK096380","TAD_1945"
"AK096395","AK096395","TAD_710"
"AK096475","AK096475","TAD_540"
"AK096499","AK096499","TAD_1941"
"AK096549","AK096549","TAD_2794"
"AK096622","AK096622","TAD_1671"
"AK096668","AK096668","TAD_2644"
"AK096766","AK096766","TAD_3032"
"AK096792","AK096792","TAD_2571"
"AK096803","AK096803","TAD_3121"
"AK096834","AK096834","TAD_3381"
"AK096898","AK096898","TAD_1001"
"AK096932","AK096932","TAD_838"
"AK096976","AK096976","TAD_2166"
"AK096982","AK096982","TAD_1260"
"AK096987","AK096987","TAD_581"
"AK096995","AK096995","TAD_2565"
"AK097012;MKNK2","AK097012;MKNK2","TAD_1582"
"AK097101","AK097101","TAD_2929"
"AK097119","AK097119","TAD_1062"
"AK097142","AK097142","TAD_691"
"AK097143","AK097143","TAD_2951"
"AK097161","AK097161","TAD_2387"
"AK097190","AK097190","TAD_2303"
"AK097193","AK097193","TAD_119"
"AK097242","AK097242","TAD_2759"
"AK097283","AK097283","TAD_1493"
"AK097288","AK097288","TAD_2654"
"AK097351;TEAD2","AK097351;TEAD2","TAD_1682"
"AK097428","AK097428","TAD_3141"
"AK097446","AK097446","TAD_615"
"AK097470","AK097470","TAD_3159"
"AK097472","AK097472","TAD_1261"
"AK097493","AK097493","TAD_1637"
"AK097500","AK097500","TAD_1366"
"AK097508","AK097508","TAD_2346"
"AK097571","AK097571","TAD_109"
"AK097585","AK097585","TAD_2814"
"AK097590","AK097590","TAD_1691"
"AK097607","AK097607","TAD_3157"
"AK097622","AK097622","TAD_1442"
"AK097624","AK097624","TAD_444"
"AK097625","AK097625","TAD_2826"
"AK097686","AK097686","TAD_2711"
"AK097694","AK097694","TAD_1337"
"AK097702","AK097702","TAD_3067"
"AK097706","AK097706","TAD_3435"
"AK097722","AK097722","TAD_139"
"AK097787","AK097787","TAD_2191"
"AK097791","AK097791","TAD_2192"
"AK097803","AK097803","TAD_3491"
"AK097816","AK097816","TAD_919"
"AK097829;DQ599886","AK097829;DQ599886","TAD_1186"
"AK097836","AK097836","TAD_2003"
"AK097853","AK097853","TAD_2857"
"AK097866","AK097866","TAD_2088"
"AK097878","AK097878","TAD_564"
"AK097902","AK097902","TAD_1151"
"AK097910","AK097910","TAD_3151"
"AK097934","AK097934","TAD_1988"
"AK097952","AK097952","TAD_1776"
"AK098067","AK098067","TAD_2064"
"AK098198","AK098198","TAD_485"
"AK098200","AK098200","TAD_1172"
"AK098263","AK098263","TAD_3365"
"AK098333","AK098333","TAD_2525"
"AK098438","AK098438","TAD_47"
"AK098548","AK098548","TAD_457"
"AK098560","AK098560","TAD_921"
"AK098570","AK098570","TAD_2625"
"AK098641","AK098641","TAD_817"
"AK098656","AK098656","TAD_1320"
"AK098665","AK098665","TAD_2814"
"AK098705","AK098705","TAD_2764"
"AK098763","AK098763","TAD_2370"
"AK098769","AK098769","TAD_3023"
"AK1","AK1","TAD_3464"
"AK123067","AK123067","TAD_391"
"AK123100","AK123100","TAD_1371"
"AK123141","AK123141","TAD_3067"
"AK123177","AK123177","TAD_289"
"AK123181;TMEM120B","AK123181;TMEM120B","TAD_850"
"AK123263","AK123263","TAD_1371"
"AK123292","AK123292","TAD_2533"
"AK123298","AK123298","TAD_1925"
"AK123314;VAV2","AK123314;VAV2","TAD_3479"
"AK123416","AK123416","TAD_2914"
"AK123440","AK123440","TAD_370"
"AK123450","AK123450","TAD_124"
"AK123474","AK123474","TAD_3048"
"AK123582","AK123582","TAD_1325"
"AK123584","AK123584","TAD_940"
"AK123617","AK123617","TAD_1859"
"AK123632","AK123632","TAD_2190"
"AK123675","AK123675","TAD_199"
"AK123758","AK123758","TAD_3525"
"AK123771","AK123771","TAD_1487"
"AK123816","AK123816","TAD_2753"
"AK123826","AK123826","TAD_1309"
"AK123834","AK123834","TAD_143"
"AK123878","AK123878","TAD_1057"
"AK123934","AK123934","TAD_1738"
"AK123947","AK123947","TAD_676"
"AK123998","AK123998","TAD_2990"
"AK124056","AK124056","TAD_312"
"AK124066","AK124066","TAD_791"
"AK124130","AK124130","TAD_2673"
"AK124173","AK124173","TAD_2950"
"AK124179","AK124179","TAD_654"
"AK124194","AK124194","TAD_2114"
"AK124308","AK124308","TAD_3096"
"AK124326","AK124326","TAD_649"
"AK124327","AK124327","TAD_1035"
"AK124399","AK124399","TAD_2556"
"AK124465;GFAP","AK124465;GFAP","TAD_1431"
"AK124484","AK124484","TAD_2969"
"AK124682","AK124682","TAD_3224"
"AK124857","AK124857","TAD_2224"
"AK124928","AK124928","TAD_906"
"AK124930","AK124930","TAD_353"
"AK124939","AK124939","TAD_1167"
"AK124970","AK124970","TAD_309"
"AK124973","AK124973","TAD_2424"
"AK125001","AK125001","TAD_1927"
"AK125040","AK125040","TAD_692"
"AK125078","AK125078","TAD_13"
"AK125083","AK125083","TAD_2844"
"AK125157","AK125157","TAD_1941"
"AK125212","AK125212","TAD_2867"
"AK125257","AK125257","TAD_2584"
"AK125301","AK125301","TAD_3571"
"AK125311","AK125311","TAD_3042"
"AK125333","AK125333","TAD_705"
"AK125397","AK125397","TAD_969"
"AK125429","AK125429","TAD_3067"
"AK125437","AK125437","TAD_25"
"AK125489","AK125489","TAD_1258"
"AK125516","AK125516","TAD_1136"
"AK125532;BC071789","AK125532;BC071789","TAD_2296"
"AK125558","AK125558","TAD_2228"
"AK125594","AK125594","TAD_2010"
"AK125599","AK125599","TAD_3178"
"AK125676","AK125676","TAD_723"
"AK125684","AK125684","TAD_436"
"AK125686","AK125686","TAD_1632"
"AK125699;BNIP3","AK125699;BNIP3","TAD_506"
"AK125749","AK125749","TAD_1331"
"AK125759","AK125759","TAD_184"
"AK125769","AK125769","TAD_1732"
"AK125821","AK125821","TAD_625"
"AK125849","AK125849","TAD_507"
"AK125858","AK125858","TAD_1645"
"AK125860","AK125860","TAD_3223"
"AK125871","AK125871","TAD_1783"
"AK125955","AK125955","TAD_988"
"AK125960","AK125960","TAD_1793"
"AK125994","AK125994","TAD_1853"
"AK126075","AK126075","TAD_1536"
"AK126080","AK126080","TAD_3372"
"AK126209;C8orf42","AK126209;C8orf42","TAD_3193"
"AK126225;CLPTM1L","AK126225;CLPTM1L","TAD_2603"
"AK126253","AK126253","TAD_2592"
"AK126266","AK126266","TAD_2571"
"AK126278","AK126278","TAD_954"
"AK126286","AK126286","TAD_1192"
"AK126293","AK126293","TAD_1570"
"AK126307","AK126307","TAD_2220"
"AK126334","AK126334","TAD_2868"
"AK126351","AK126351","TAD_1903"
"AK126380","AK126380","TAD_516"
"AK126491","AK126491","TAD_437"
"AK126532","AK126532","TAD_1592"
"AK126539","AK126539","TAD_1219"
"AK126693","AK126693","TAD_1580"
"AK126744","AK126744","TAD_2090"
"AK127048","AK127048","TAD_2993"
"AK127087","AK127087","TAD_3412"
"AK127120","AK127120","TAD_2982"
"AK127124","AK127124","TAD_1876"
"AK127179;DICER1-AS1","AK127179;DICER1-AS1","TAD_1050"
"AK127190","AK127190","TAD_2273"
"AK127191","AK127191","TAD_1251"
"AK127270","AK127270","TAD_114"
"AK127380","AK127380","TAD_3629"
"AK127400","AK127400","TAD_1914"
"AK127460","AK127460","TAD_1488"
"AK127472","AK127472","TAD_2936"
"AK127555","AK127555","TAD_2808"
"AK127557","AK127557","TAD_2394"
"AK127697","AK127697","TAD_3530"
"AK127787","AK127787","TAD_1553"
"AK127846","AK127846","TAD_1692"
"AK127888","AK127888","TAD_1529"
"AK127889","AK127889","TAD_2825"
"AK127963","AK127963","TAD_3343"
"AK127974","AK127974","TAD_1387"
"AK128037","AK128037","TAD_1008"
"AK128059","AK128059","TAD_691"
"AK128153","AK128153","TAD_3485"
"AK128161","AK128161","TAD_3286"
"AK128216","AK128216","TAD_3272"
"AK128346","AK128346","TAD_2422"
"AK128361;ZNF615","AK128361;ZNF615","TAD_1690"
"AK128400","AK128400","TAD_3193"
"AK128414","AK128414","TAD_3487"
"AK128534","AK128534","TAD_349"
"AK128559","AK128559","TAD_985"
"AK128569","AK128569","TAD_526"
"AK128652","AK128652","TAD_1065"
"AK128673","AK128673","TAD_3470"
"AK128697","AK128697","TAD_1533"
"AK128734","AK128734","TAD_124"
"AK128833","AK128833","TAD_2"
"AK128880","AK128880","TAD_3196"
"AK129567","AK129567","TAD_2152"
"AK130076","AK130076","TAD_449"
"AK130294;LOC92249","AK130294;LOC92249","TAD_3553"
"AK130329","AK130329","TAD_1170"
"AK130400","AK130400","TAD_339"
"AK130481","AK130481","TAD_2381"
"AK130765","AK130765","TAD_2975"
"AK130852","AK130852","TAD_692"
"AK130904","AK130904","TAD_3380"
"AK130911","AK130911","TAD_812"
"AK131020","AK131020","TAD_3442"
"AK131021","AK131021","TAD_2245"
"AK131224","AK131224","TAD_1779"
"AK131325","AK131325","TAD_2163"
"AK131347","AK131347","TAD_3163"
"AK131516","AK131516","TAD_3457"
"AK131521","AK131521","TAD_3366"
"AK172755","AK172755","TAD_3353"
"AK2","AK2","TAD_75"
"AK225487","AK225487","TAD_3027"
"AK289390","AK289390","TAD_667"
"AK291701;NACAP1","AK291701;NACAP1","TAD_3299"
"AK293020","AK293020","TAD_2835"
"AK293147","AK293147","TAD_1499"
"AK294743","AK294743","TAD_1335"
"AK294819","AK294819","TAD_409"
"AK294973","AK294973","TAD_584"
"AK296065","AK296065","TAD_3179"
"AK296146","AK296146","TAD_377"
"AK296148","AK296148","TAD_1382"
"AK296276","AK296276","TAD_2979"
"AK296966","AK296966","TAD_2316"
"AK297683","AK297683","TAD_365"
"AK297919","AK297919","TAD_1603"
"AK298056","AK298056","TAD_2831"
"AK298300","AK298300","TAD_125"
"AK298596","AK298596","TAD_3331"
"AK299452","AK299452","TAD_3257"
"AK3","AK3","TAD_3338"
"AK300121","AK300121","TAD_769"
"AK300387","AK300387","TAD_1272"
"AK300656","AK300656","TAD_3397"
"AK301093","AK301093","TAD_584"
"AK301679","AK301679","TAD_1382"
"AK301968","AK301968","TAD_1175"
"AK302092","AK302092","TAD_1169"
"AK302306","AK302306","TAD_1085"
"AK302511","AK302511","TAD_1339"
"AK302514","AK302514","TAD_2886"
"AK302545","AK302545","TAD_2152"
"AK303207","AK303207","TAD_366"
"AK303572","AK303572","TAD_1241"
"AK303607","AK303607","TAD_1262"
"AK304759","AK304759","TAD_86"
"AK304826","AK304826","TAD_1235"
"AK307134","AK307134","TAD_1187"
"AK307154","AK307154","TAD_2681"
"AK307172","AK307172","TAD_2556"
"AK307192","AK307192","TAD_2072"
"AK307207","AK307207","TAD_3205"
"AK307233","AK307233","TAD_3678"
"AK307246","AK307246","TAD_216"
"AK307870","AK307870","TAD_1086"
"AK308605","AK308605","TAD_3226"
"AK308652","AK308652","TAD_701"
"AK308944","AK308944","TAD_3468"
"AK308965","AK308965","TAD_218"
"AK309109","AK309109","TAD_398"
"AK309218","AK309218","TAD_2088"
"AK309255","AK309255","TAD_1086"
"AK309286","AK309286","TAD_2825"
"AK309441;WWTR1-AS1","AK309441;WWTR1-AS1","TAD_2372"
"AK309533","AK309533","TAD_2826"
"AK309717","AK309717","TAD_1535"
"AK309922","AK309922","TAD_402"
"AK309988","AK309988","TAD_2545"
"AK310013","AK310013","TAD_2674"
"AK310041","AK310041","TAD_1095"
"AK310228","AK310228","TAD_1231"
"AK310350","AK310350","TAD_2"
"AK310441","AK310441","TAD_205"
"AK310493","AK310493","TAD_2734"
"AK310526","AK310526","TAD_1090"
"AK310634","AK310634","TAD_334"
"AK310751","AK310751","TAD_1"
"AK310876","AK310876","TAD_3369"
"AK311005","AK311005","TAD_2262"
"AK311106","AK311106","TAD_2825"
"AK311108","AK311108","TAD_204"
"AK311120","AK311120","TAD_2335"
"AK311167","AK311167","TAD_3378"
"AK311212","AK311212","TAD_2979"
"AK311213","AK311213","TAD_1557"
"AK311257","AK311257","TAD_3327"
"AK311282","AK311282","TAD_1058"
"AK311291","AK311291","TAD_1871"
"AK311342","AK311342","TAD_3573"
"AK311356","AK311356","TAD_630"
"AK311374","AK311374","TAD_3125"
"AK311380","AK311380","TAD_1624"
"AK311398","AK311398","TAD_2643"
"AK311400","AK311400","TAD_156"
"AK311445","AK311445","TAD_3434"
"AK311458","AK311458","TAD_354"
"AK311497","AK311497","TAD_516"
"AK311558","AK311558","TAD_3231"
"AK311573","AK311573","TAD_2100"
"AK311578","AK311578","TAD_2502"
"AK311660","AK311660","TAD_1086"
"AK4","AK4","TAD_124"
"AK5","AK5","TAD_136"
"AK7","AK7","TAD_1052"
"AK8","AK8","TAD_3477"
"AKAP10","AKAP10","TAD_1386"
"AKAP12","AKAP12","TAD_2967"
"AKAP13","AKAP13","TAD_1176"
"AKAP17A","AKAP17A","TAD_3489"
"AKAP2","AKAP2","TAD_3438"
"AKAP3","AKAP3","TAD_707"
"AKAP4","AKAP4","TAD_3538"
"AKAP5","AKAP5","TAD_1014"
"AKAP6","AKAP6","TAD_982"
"AKAP7","AKAP7","TAD_2940"
"AKAP8","AKAP8","TAD_1618"
"AKAP8L","AKAP8L","TAD_1618"
"AKAP9","AKAP9","TAD_3108"
"AKIP1","AKIP1","TAD_530"
"AKIRIN1","AKIRIN1","TAD_85"
"AKIRIN2","AKIRIN2","TAD_2900"
"AKIRIN2-AS1","AKIRIN2-AS1","TAD_2900"
"AKNAD1","AKNAD1","TAD_169"
"AKR1B1","AKR1B1","TAD_3157"
"AKR1B10","AKR1B10","TAD_3157"
"AKR1B15","AKR1B15","TAD_3157"
"AKR1C1","AKR1C1","TAD_348"
"AKR1C2","AKR1C2","TAD_348"
"AKR1C3","AKR1C3","TAD_348"
"AKR1C4","AKR1C4","TAD_348"
"AKR1CL1","AKR1CL1","TAD_348"
"AKR1D1","AKR1D1","TAD_3160"
"AKR7A2P1","AKR7A2P1","TAD_176"
"AKT1","AKT1","TAD_1064"
"AKT3","AKT3","TAD_334"
"AKTIP","AKTIP","TAD_1287"
"AL049935","AL049935","TAD_3470"
"AL050000","AL050000","TAD_482"
"AL050132","AL050132","TAD_2692"
"AL050141","AL050141","TAD_192"
"AL080192","AL080192","TAD_1911"
"AL109706","AL109706","TAD_1189"
"AL110181","AL110181","TAD_3146"
"AL117485;BC112340;BC051721;DQ786190","AL117485;BC112340;BC051721;DQ786190","TAD_2152"
"AL133111","AL133111","TAD_2238"
"AL133568","AL133568","TAD_3108"
"AL137535","AL137535","TAD_3416"
"AL137655","AL137655","TAD_2429"
"AL137752","AL137752","TAD_1648"
"AL355711","AL355711","TAD_2136"
"AL357213","AL357213","TAD_1174"
"AL360260","AL360260","TAD_1198"
"AL390170","AL390170","TAD_3437"
"AL831889","AL831889","TAD_79"
"AL831948","AL831948","TAD_757"
"AL831977","AL831977","TAD_3087"
"AL832007","AL832007","TAD_635"
"AL832096","AL832096","TAD_2932"
"AL832163","AL832163","TAD_3307"
"AL832184","AL832184","TAD_2300"
"AL832212;UBE2H","AL832212;UBE2H","TAD_3150"
"AL832252","AL832252","TAD_2888"
"AL832262","AL832262","TAD_3274"
"AL832378","AL832378","TAD_2526"
"AL832384","AL832384","TAD_3086"
"AL832447","AL832447","TAD_2838"
"AL832737;LOC441178","AL832737;LOC441178","TAD_2982"
"AL832797","AL832797","TAD_618"
"AL832891;CYR61","AL832891;CYR61","TAD_142"
"AL832909","AL832909","TAD_1106"
"AL833139","AL833139","TAD_1477"
"AL833181","AL833181","TAD_1770"
"AL833634","AL833634","TAD_658"
"AL953854.2-002","AL953854.2-002","TAD_3373"
"ALAD","ALAD","TAD_3444"
"ALAS1","ALAS1","TAD_2281"
"ALAS2","ALAS2","TAD_3547"
"ALB","ALB","TAD_2498"
"ALCAM","ALCAM","TAD_2322"
"ALDH18A1","ALDH18A1","TAD_459"
"ALDH1A1","ALDH1A1","TAD_3386"
"ALDH1A2","ALDH1A2","TAD_1127"
"ALDH1A3","ALDH1A3","TAD_1192"
"ALDH1B1","ALDH1B1","TAD_3366"
"ALDH1L1","ALDH1L1","TAD_2346"
"ALDH1L2","ALDH1L2","TAD_822"
"ALDH2","ALDH2","TAD_834"
"ALDH3A1","ALDH3A1","TAD_1386"
"ALDH3A2","ALDH3A2","TAD_1386"
"ALDH5A1","ALDH5A1","TAD_2817"
"ALDH7A1","ALDH7A1","TAD_2721"
"ALDH8A1","ALDH8A1","TAD_2945"
"ALDH9A1","ALDH9A1","TAD_238"
"ALDOB","ALDOB","TAD_3432"
"ALG12","ALG12","TAD_2216"
"ALG13","ALG13","TAD_3629"
"ALG14","ALG14","TAD_153"
"ALG2","ALG2","TAD_3428"
"ALG3","ALG3","TAD_2405"
"ALG5","ALG5","TAD_893"
"ALG6","ALG6","TAD_122"
"ALG9","ALG9","TAD_656"
"ALK","ALK","TAD_1736"
"ALKBH1","ALKBH1","TAD_1036"
"ALKBH3;LOC729799","ALKBH3;LOC729799","TAD_561"
"ALKBH5","ALKBH5","TAD_1381"
"ALKBH6","ALKBH6","TAD_1648"
"ALKBH7","ALKBH7","TAD_1595"
"ALKBH8","ALKBH8","TAD_653"
"ALMS1","ALMS1","TAD_1788"
"ALOX12","ALOX12","TAD_1356"
"ALOX12P2","ALOX12P2","TAD_1356"
"ALOX15","ALOX15","TAD_1352"
"ALOX15B","ALOX15B","TAD_1360"
"ALOX5","ALOX5","TAD_395"
"ALOX5AP","ALOX5AP","TAD_887"
"ALPI","ALPI","TAD_1974"
"ALPK2","ALPK2","TAD_1555"
"ALPK3","ALPK3","TAD_1174"
"ALPL","ALPL","TAD_47"
"ALPP","ALPP","TAD_1974"
"ALPPL2","ALPPL2","TAD_1974"
"ALS2","ALS2","TAD_1944"
"ALS2CL","ALS2CL","TAD_2268"
"ALS2CR11","ALS2CR11","TAD_1944"
"ALS2CR12","ALS2CR12","TAD_1944"
"ALS2CR8","ALS2CR8","TAD_1947"
"ALX1","ALX1","TAD_803"
"ALX3","ALX3","TAD_170"
"ALX4","ALX4","TAD_562"
"ALYREF","ALYREF","TAD_1499"
"AMBRA1","AMBRA1","TAD_567"
"AMD1","AMD1","TAD_2920"
"AMDHD1","AMDHD1","TAD_816"
"AMELX","AMELX","TAD_3500"
"AMELY","AMELY","TAD_3684"
"AMH","AMH","TAD_1582"
"AMHR2","AMHR2","TAD_771"
"AMICA1","AMICA1","TAD_667"
"AMIGO1","AMIGO1","TAD_169"
"AMIGO2","AMIGO2","TAD_756"
"AMIGO3","AMIGO3","TAD_2276"
"AMMECR1","AMMECR1","TAD_3628"
"AMN","AMN","TAD_1060"
"AMOT","AMOT","TAD_3629"
"AMOTL1","AMOTL1","TAD_644"
"AMOTL2","AMOTL2","TAD_2358"
"AMPD1","AMPD1","TAD_180"
"AMPD2","AMPD2","TAD_169"
"AMPD3","AMPD3","TAD_532"
"AMT;NICN1","AMT;NICN1","TAD_2274"
"AMY1A","AMY1A","TAD_164"
"AMY1C","AMY1C","TAD_164"
"AMY2A","AMY2A","TAD_164"
"AMZ1","AMZ1","TAD_2994"
"ANAPC1","ANAPC1","TAD_1802"
"ANAPC10","ANAPC10","TAD_2558"
"ANAPC11","ANAPC11","TAD_1499"
"ANAPC16","ANAPC16","TAD_429"
"ANAPC2","ANAPC2","TAD_3485"
"ANAPC5","ANAPC5","TAD_849"
"ANAPC7","ANAPC7","TAD_831"
"ANG","ANG","TAD_966"
"ANGEL2","ANGEL2","TAD_295"
"ANGPT1","ANGPT1","TAD_3304"
"ANGPT2","ANGPT2","TAD_3198"
"ANGPT4","ANGPT4","TAD_1993"
"ANGPTL1","ANGPTL1","TAD_251"
"ANGPTL2","ANGPTL2","TAD_3463"
"ANGPTL3","ANGPTL3","TAD_121"
"ANGPTL4","ANGPTL4","TAD_1601"
"ANGPTL5","ANGPTL5","TAD_650"
"ANGPTL6","ANGPTL6","TAD_1604"
"ANGPTL7","ANGPTL7","TAD_24"
"ANK1","ANK1","TAD_3248"
"ANK2","ANK2","TAD_2541"
"ANK3","ANK3","TAD_417"
"ANKAR","ANKAR","TAD_1936"
"ANKDD1A","ANKDD1A","TAD_1140"
"ANKFN1","ANKFN1","TAD_1448"
"ANKFY1","ANKFY1","TAD_1351"
"ANKHD1","ANKHD1","TAD_2737"
"ANKHD1-EIF4EBP3","ANKHD1-EIF4EBP3","TAD_2737"
"ANKIB1","ANKIB1","TAD_3108"
"ANKK1","ANKK1","TAD_659"
"ANKMY2","ANKMY2","TAD_3008"
"ANKRD1","ANKRD1","TAD_452"
"ANKRD12","ANKRD12","TAD_1509"
"ANKRD13A","ANKRD13A","TAD_830"
"ANKRD13C","ANKRD13C","TAD_130"
"ANKRD13D","ANKRD13D","TAD_606"
"ANKRD16;AK129672","ANKRD16;AK129672","TAD_350"
"ANKRD2","ANKRD2","TAD_462"
"ANKRD20A11P","ANKRD20A11P","TAD_2110"
"ANKRD20A2","ANKRD20A2","TAD_1820"
"ANKRD20A3","ANKRD20A3","TAD_3369"
"ANKRD20A4","ANKRD20A4","TAD_3378"
"ANKRD20A9P","ANKRD20A9P","TAD_866"
"ANKRD22","ANKRD22","TAD_449"
"ANKRD23","ANKRD23","TAD_1826"
"ANKRD24","ANKRD24","TAD_1589"
"ANKRD26","ANKRD26","TAD_372"
"ANKRD26P3","ANKRD26P3","TAD_867"
"ANKRD28","ANKRD28","TAD_2239"
"ANKRD29","ANKRD29","TAD_1527"
"ANKRD30A","ANKRD30A","TAD_381"
"ANKRD31","ANKRD31","TAD_2681"
"ANKRD32","ANKRD32","TAD_2695"
"ANKRD33","ANKRD33","TAD_768"
"ANKRD33B","ANKRD33B","TAD_2611"
"ANKRD34A","ANKRD34A","TAD_199"
"ANKRD34B","ANKRD34B","TAD_2684"
"ANKRD34C","ANKRD34C","TAD_1166"
"ANKRD35","ANKRD35","TAD_199"
"ANKRD36B","ANKRD36B","TAD_1829"
"ANKRD36BP1","ANKRD36BP1","TAD_240"
"ANKRD37","ANKRD37","TAD_2593"
"ANKRD39","ANKRD39","TAD_1826"
"ANKRD40","ANKRD40","TAD_1444"
"ANKRD42","ANKRD42","TAD_630"
"ANKRD44","ANKRD44","TAD_1939"
"ANKRD45","ANKRD45","TAD_245"
"ANKRD46","ANKRD46","TAD_3295"
"ANKRD49","ANKRD49","TAD_643"
"ANKRD5","ANKRD5","TAD_2005"
"ANKRD50","ANKRD50","TAD_2550"
"ANKRD52","ANKRD52","TAD_777"
"ANKRD55","ANKRD55","TAD_2658"
"ANKRD6","ANKRD6","TAD_2901"
"ANKRD63","ANKRD63","TAD_1106"
"ANKRD65","ANKRD65","TAD_3"
"ANKRD9","ANKRD9","TAD_1060"
"ANKS1A","ANKS1A","TAD_2839"
"ANKS1B","ANKS1B","TAD_819"
"ANKS3","ANKS3","TAD_1209"
"ANKS4B","ANKS4B","TAD_1240"
"ANKS6","ANKS6","TAD_3426"
"ANKUB1","ANKUB1","TAD_2372"
"ANKZF1","ANKZF1","TAD_1962"
"ANO1","ANO1","TAD_613"
"ANO10","ANO10","TAD_2266"
"ANO2","ANO2","TAD_707"
"ANO3","ANO3","TAD_547"
"ANO4","ANO4","TAD_819"
"ANO5","ANO5","TAD_545"
"ANO6","ANO6","TAD_752"
"ANO7","ANO7","TAD_1986"
"ANO9","ANO9","TAD_512"
"ANP32A","ANP32A","TAD_1148"
"ANP32A-IT1","ANP32A-IT1","TAD_1148"
"ANP32AP1","ANP32AP1","TAD_1103"
"ANP32C","ANP32C","TAD_2575"
"ANP32D","ANP32D","TAD_758"
"ANPEP","ANPEP","TAD_1181"
"ANTXR1","ANTXR1","TAD_1782"
"ANTXR2","ANTXR2","TAD_2507"
"ANTXRL","ANTXRL","TAD_399"
"ANXA1","ANXA1","TAD_3386"
"ANXA10","ANXA10","TAD_2578"
"ANXA11","ANXA11","TAD_441"
"ANXA13","ANXA13","TAD_3311"
"ANXA2P1","ANXA2P1","TAD_2568"
"ANXA2P3","ANXA2P3","TAD_422"
"ANXA4","ANXA4","TAD_1783"
"ANXA5","ANXA5","TAD_2547"
"ANXA6","ANXA6","TAD_2751"
"ANXA7","ANXA7","TAD_431"
"ANXA8L1;ANXA8","ANXA8L1;ANXA8","TAD_400"
"ANXA8L2","ANXA8L2","TAD_400"
"AOAH","AOAH","TAD_3031"
"AOC2","AOC2","TAD_1424"
"AOC3","AOC3","TAD_1424"
"AOC4;AF047486","AOC4;AF047486","TAD_1424"
"AOX1","AOX1","TAD_1942"
"AOX2P","AOX2P","TAD_1942"
"AP1AR","AP1AR","TAD_2540"
"AP1B1P1","AP1B1P1","TAD_2184"
"AP1G1","AP1G1","TAD_1310"
"AP1M2","AP1M2","TAD_1606"
"AP1S1","AP1S1","TAD_3122"
"AP1S3","AP1S3","TAD_1966"
"AP2A1","AP2A1","TAD_1685"
"AP2A2","AP2A2","TAD_514"
"AP2M1","AP2M1","TAD_2405"
"AP2S1","AP2S1","TAD_1674"
"AP3B1","AP3B1","TAD_2683"
"AP3B2;DQ601936","AP3B2;DQ601936","TAD_1170"
"AP3D1","AP3D1","TAD_1582"
"AP3M2","AP3M2","TAD_3248"
"AP3S2","AP3S2","TAD_1181"
"AP4B1","AP4B1","TAD_178"
"AP4M1","AP4M1","TAD_3119"
"AP4S1","AP4S1","TAD_980"
"APAF1","APAF1","TAD_818"
"APBA1","APBA1","TAD_3381"
"APBA3","APBA3","TAD_1588"
"APBB1","APBB1","TAD_525"
"APBB1IP","APBB1IP","TAD_370"
"APBB2","APBB2","TAD_2474"
"APBB3","APBB3","TAD_2737"
"APC","APC","TAD_2709"
"APCDD1","APCDD1","TAD_1510"
"APCDD1L","APCDD1L","TAD_2084"
"APCS","APCS","TAD_227"
"APEX1","APEX1","TAD_966"
"APEX2","APEX2","TAD_3547"
"APH1A","APH1A","TAD_209"
"APH1B","APH1B","TAD_1137"
"APLN","APLN","TAD_3644"
"APLNR","APLNR","TAD_581"
"APLP1","APLP1","TAD_1648"
