"","gene","TAD"
"AK055570","AK055570","TAD_2983"
"AK055601","AK055601","TAD_1987"
"AK055631","AK055631","TAD_134"
"AK055656","AK055656","TAD_366"
"AK055666","AK055666","TAD_2658"
"AK055746","AK055746","TAD_281"
"AK055772","AK055772","TAD_528"
"AK055803","AK055803","TAD_347"
"AK055811","AK055811","TAD_2764"
"AK055853","AK055853","TAD_31"
"AK055854","AK055854","TAD_2049"
"AK055856","AK055856","TAD_313"
"AK055876","AK055876","TAD_1027"
"AK055890","AK055890","TAD_1986"
"AK055918","AK055918","TAD_1734"
"AK055932","AK055932","TAD_3099"
"AK055974","AK055974","TAD_791"
"AK055980","AK055980","TAD_2175"
"AK055981","AK055981","TAD_1181"
"AK056073","AK056073","TAD_1595"
"AK056077","AK056077","TAD_1759"
"AK056081","AK056081","TAD_2439"
"AK056084","AK056084","TAD_1850"
"AK056098","AK056098","TAD_2083"
"AK056105","AK056105","TAD_3530"
"AK056182","AK056182","TAD_898"
"AK056196","AK056196","TAD_2587"
"AK056211","AK056211","TAD_2825"
"AK056252","AK056252","TAD_2397"
"AK056267","AK056267","TAD_2093"
"AK056332","AK056332","TAD_1968"
"AK056396","AK056396","TAD_191"
"AK056431","AK056431","TAD_215"
"AK056432","AK056432","TAD_2078"
"AK056485","AK056485","TAD_2694"
"AK056505","AK056505","TAD_691"
"AK056524","AK056524","TAD_3527"
"AK056556","AK056556","TAD_316"
"AK056558","AK056558","TAD_2473"
"AK056584","AK056584","TAD_2869"
"AK056618","AK056618","TAD_3379"
"AK056623","AK056623","TAD_3193"
"AK056625","AK056625","TAD_1941"
"AK056657","AK056657","TAD_256"
"AK056683","AK056683","TAD_1294"
"AK056686","AK056686","TAD_1117"
"AK056689","AK056689","TAD_925"
"AK056780","AK056780","TAD_2745"
"AK056817","AK056817","TAD_2643"
"AK056897","AK056897","TAD_3259"
"AK056973","AK056973","TAD_1263"
"AK056982","AK056982","TAD_533"
"AK057187","AK057187","TAD_1742"
"AK057188","AK057188","TAD_3380"
"AK057218","AK057218","TAD_1317"
"AK057259","AK057259","TAD_3121"
"AK057304","AK057304","TAD_3520"
"AK057317","AK057317","TAD_1404"
"AK057332","AK057332","TAD_3312"
"AK057351","AK057351","TAD_873"
"AK057379","AK057379","TAD_3015"
"AK057396","AK057396","TAD_875"
"AK057448","AK057448","TAD_3308"
"AK057451","AK057451","TAD_3428"
"AK057455","AK057455","TAD_2550"
"AK057471;BC128161","AK057471;BC128161","TAD_922"
"AK057515","AK057515","TAD_3220"
"AK057554","AK057554","TAD_226"
"AK057681","AK057681","TAD_606"
"AK057719","AK057719","TAD_3464"
"AK057873","AK057873","TAD_3012"
"AK057887","AK057887","TAD_1326"
"AK057935","AK057935","TAD_3236"
"AK058053","AK058053","TAD_945"
"AK058177","AK058177","TAD_2979"
"AK074198","AK074198","TAD_3369"
"AK074469","AK074469","TAD_2115"
"AK074476","AK074476","TAD_2182"
"AK075337","AK075337","TAD_1634"
"AK090553","AK090553","TAD_1666"
"AK090593","AK090593","TAD_2990"
"AK090604","AK090604","TAD_1421"
"AK090681","AK090681","TAD_1995"
"AK090688","AK090688","TAD_2979"
"AK090700","AK090700","TAD_154"
"AK090788","AK090788","TAD_2979"
"AK090844","AK090844","TAD_105"
"AK090854","AK090854","TAD_927"
"AK090895","AK090895","TAD_2291"
"AK090904","AK090904","TAD_2551"
"AK090973","AK090973","TAD_3623"
"AK091028","AK091028","TAD_2791"
"AK091265","AK091265","TAD_2417"
"AK091275","AK091275","TAD_674"
"AK091365","AK091365","TAD_2907"
"AK091688","AK091688","TAD_202"
"AK091729","AK091729","TAD_3122"
"AK091866","AK091866","TAD_2693"
"AK091906","AK091906","TAD_1122"
"AK092048","AK092048","TAD_3099"
"AK092080","AK092080","TAD_1632"
"AK092087","AK092087","TAD_1102"
"AK092143","AK092143","TAD_2287"
"AK092380","AK092380","TAD_2971"
"AK092451","AK092451","TAD_2796"
"AK092541","AK092541","TAD_2814"
"AK092589","AK092589","TAD_995"
"AK092619","AK092619","TAD_2378"
"AK093002","AK093002","TAD_1320"
"AK093026","AK093026","TAD_1954"
"AK093107","AK093107","TAD_2213"
"AK093114","AK093114","TAD_2979"
"AK093124","AK093124","TAD_783"
"AK093193","AK093193","TAD_796"
"AK093205","AK093205","TAD_2469"
"AK093214","AK093214","TAD_248"
"AK093219","AK093219","TAD_451"
"AK093264","AK093264","TAD_2585"
"AK093279","AK093279","TAD_872"
"AK093299","AK093299","TAD_229"
"AK093301","AK093301","TAD_1047"
"AK093356","AK093356","TAD_2528"
"AK093362","AK093362","TAD_2619"
"AK093363","AK093363","TAD_3435"
"AK093381","AK093381","TAD_2367"
"AK093403","AK093403","TAD_2789"
"AK093412","AK093412","TAD_3194"
"AK093416","AK093416","TAD_2551"
"AK093443;FAM95B1;DQ587119","AK093443;FAM95B1;DQ587119","TAD_3369"
"AK093513","AK093513","TAD_2943"
"AK093519","AK093519","TAD_1995"
"AK093525","AK093525","TAD_1722"
"AK093534","AK093534","TAD_2085"
"AK093552","AK093552","TAD_969"
"AK093600","AK093600","TAD_1191"
"AK093758","AK093758","TAD_1091"
"AK093871","AK093871","TAD_2531"
"AK093898","AK093898","TAD_642"
"AK093940","AK093940","TAD_1553"
"AK094117","AK094117","TAD_654"
"AK094156","AK094156","TAD_192"
"AK094188","AK094188","TAD_1634"
"AK094196","AK094196","TAD_3347"
"AK094325","AK094325","TAD_561"
"AK094342","AK094342","TAD_3341"
"AK094343","AK094343","TAD_1758"
"AK094352","AK094352","TAD_1186"
"AK094413","AK094413","TAD_3432"
"AK094462","AK094462","TAD_2606"
